"TRACTFIPS","city","state"
"01015002101","Jacksonville","AL"
"01015002102","Jacksonville","AL"
"01015002103","Jacksonville","AL"
"01015002400","Jacksonville","AL"
"01073000100","Birmingham","AL"
"01073000300","Birmingham","AL"
"01073000400","Birmingham","AL"
"01073000500","Birmingham","AL"
"01073000700","Birmingham","AL"
"01073000800","Birmingham","AL"
"01073001100","Birmingham","AL"
"01073001200","Birmingham","AL"
"01073001400","Birmingham","AL"
"01073001500","Birmingham","AL"
"01073001600","Birmingham","AL"
"01073001902","Birmingham","AL"
"01073002000","Birmingham","AL"
"01073002100","Birmingham","AL"
"01073002200","Birmingham","AL"
"01073002303","Birmingham","AL"
"01073002305","Birmingham","AL"
"01073002306","Birmingham","AL"
"01073002400","Birmingham","AL"
"01073002700","Birmingham","AL"
"01073002900","Birmingham","AL"
"01073003001","Birmingham","AL"
"01073003002","Birmingham","AL"
"01073003100","Birmingham","AL"
"01073003200","Birmingham","AL"
"01073003300","Birmingham","AL"
"01073003400","Birmingham","AL"
"01073003500","Birmingham","AL"
"01073003600","Birmingham","AL"
"01073003700","Birmingham","AL"
"01073003802","Birmingham","AL"
"01073003803","Birmingham","AL"
"01073003900","Birmingham","AL"
"01073004000","Birmingham","AL"
"01073004200","Birmingham","AL"
"01073004500","Birmingham","AL"
"01073004701","Birmingham","AL"
"01073004702","Birmingham","AL"
"01073004800","Birmingham","AL"
"01073004901","Birmingham","AL"
"01073004902","Birmingham","AL"
"01073005000","Birmingham","AL"
"01073005101","Birmingham","AL"
"01073005103","Birmingham","AL"
"01073005104","Birmingham","AL"
"01073005200","Birmingham","AL"
"01073005302","Birmingham","AL"
"01073005500","Birmingham","AL"
"01073005600","Birmingham","AL"
"01073005701","Birmingham","AL"
"01073005702","Birmingham","AL"
"01073005800","Birmingham","AL"
"01073005903","Birmingham","AL"
"01073005905","Birmingham","AL"
"01073005907","Birmingham","AL"
"01073005908","Birmingham","AL"
"01073005909","Birmingham","AL"
"01073005910","Birmingham","AL"
"01073010701","Birmingham","AL"
"01073010702","Birmingham","AL"
"01073010703","Birmingham","AL"
"01073010704","Birmingham","AL"
"01073010705","Birmingham","AL"
"01073010706","Birmingham","AL"
"01073010801","Birmingham","AL"
"01073010802","Birmingham","AL"
"01073010803","Birmingham","AL"
"01073010804","Birmingham","AL"
"01073010805","Birmingham","AL"
"01073010900","Birmingham","AL"
"01073011104","Birmingham","AL"
"01073011207","Birmingham","AL"
"01073011209","Birmingham","AL"
"01073011210","Birmingham","AL"
"01073011802","Birmingham","AL"
"01073011803","Birmingham","AL"
"01073011804","Birmingham","AL"
"01073011901","Birmingham","AL"
"01073011904","Birmingham","AL"
"01073012001","Birmingham","AL"
"01073012401","Birmingham","AL"
"01073012402","Birmingham","AL"
"01073012500","Birmingham","AL"
"01073012602","Birmingham","AL"
"01073012701","Birmingham","AL"
"01073012703","Birmingham","AL"
"01073012802","Birmingham","AL"
"01073012803","Birmingham","AL"
"01073012905","Birmingham","AL"
"01073012906","Birmingham","AL"
"01073012907","Birmingham","AL"
"01073012908","Birmingham","AL"
"01073012910","Birmingham","AL"
"01073012911","Birmingham","AL"
"01073012912","Birmingham","AL"
"01073012913","Birmingham","AL"
"01073012914","Birmingham","AL"
"01073012915","Birmingham","AL"
"01073013002","Birmingham","AL"
"01073013100","Birmingham","AL"
"01073013200","Birmingham","AL"
"01073013300","Birmingham","AL"
"01073014204","Birmingham","AL"
"01073014302","Birmingham","AL"
"01073014404","Birmingham","AL"
"01073014405","Birmingham","AL"
"01073014406","Birmingham","AL"
"01073014408","Birmingham","AL"
"01073014409","Birmingham","AL"
"01073014410","Birmingham","AL"
"01073014412","Birmingham","AL"
"01073014413","Birmingham","AL"
"01081040200","Auburn","AL"
"01081040300","Auburn","AL"
"01081040400","Auburn","AL"
"01081040500","Auburn","AL"
"01081040602","Auburn","AL"
"01081040603","Auburn","AL"
"01081040604","Auburn","AL"
"01081040700","Auburn","AL"
"01081040800","Auburn","AL"
"01081040901","Auburn","AL"
"01081040902","Auburn","AL"
"01081041000","Auburn","AL"
"01087231400","Auburn","AL"
"01117030211","Birmingham","AL"
"01117030212","Birmingham","AL"
"01117030213","Birmingham","AL"
"01117030216","Birmingham","AL"
"01117030217","Birmingham","AL"
"01117030303","Birmingham","AL"
"01117030304","Birmingham","AL"
"01117030314","Birmingham","AL"
"01117030330","Birmingham","AL"
"01117030331","Birmingham","AL"
"01117030333","Birmingham","AL"
"01117030342","Birmingham","AL"
"01117030344","Birmingham","AL"
"02020000500","Anchorage","AK"
"02020000600","Anchorage","AK"
"02020000701","Anchorage","AK"
"02020000702","Anchorage","AK"
"02020000703","Anchorage","AK"
"02020000801","Anchorage","AK"
"02020000802","Anchorage","AK"
"02020000901","Anchorage","AK"
"02020000902","Anchorage","AK"
"02020001000","Anchorage","AK"
"02020001100","Anchorage","AK"
