City,Subject,Participants,Time,Description,State,Date,Date_start,Date_end
Anaheim,"George Floyd, Solidarity - Minneapolis, General - Police Brutality Against Black People",50-60 demonstrators,Evening,At Harbor & Lincoln Ave,CA,"Monday, June 1, 2020",2020-06-01,NA
Springfield,"George Floyd, Solidarity - Minneapolis, General - Police Brutality Against Black People",1000+ demonstrators,Afternoon-Evening,No details included for this demonstration.,IL,"Monday, June 1, 2020",2020-06-01,NA
Lincoln,"George Floyd, Solidarity - Minneapolis, General - Police Brutality Against Black People",Hundreds of demonstrators,Evening,No details included for this demonstration.,NE,"Monday, June 1, 2020",2020-06-01,NA
Omaha,"George Floyd, Solidarity - Minneapolis, General - Police Brutality Against Black People",300+ demonstrators,Evening,No details included for this demonstration.,NE,"Monday, June 1, 2020",2020-06-01,NA
"Dunedin, New Zealand","George Floyd, Solidarity - Minneapolis, General - Police Brutality Against Black People",Hundreds of demonstrators,Afternoon,No details included for this demonstration.,NA,"Monday, June 1, 2020",2020-06-01,NA
"Wellington, New Zealand","George Floyd, Solidarity - Minneapolis, General - Police Brutality Against Black People",Hundreds of demonstrators,Evening,No details included for this demonstration.,NA,"Monday, June 1, 2020",2020-06-01,NA
Albuquerque,"George Floyd, Solidarity - Minneapolis, General - Police Brutality Against Black People",Hundreds of demonstrators,Evening,March in rain,NM,"Monday, June 1, 2020",2020-06-01,NA
Raleigh,"George Floyd, Solidarity - Minneapolis, General - Police Brutality Against Black People",Hundreds (est.) demonstrators,Evening-Morning,No details included for this demonstration.,NC,"Sunday, May 31, 2020 - Monday, June 1, 2020",2020-05-31,2020-06-01
York,"George Floyd, Solidarity - Minneapolis, General - Police Brutality Against Black People",200 demonstrators,Evening,"Rally at Penn Park, march thru city; group splintered near end",PA,"Monday, June 1, 2020",2020-06-01,NA
Williamsburg,"George Floyd, Solidarity - Minneapolis, General - Police Brutality Against Black People",Hundreds of demonstrators,Evening,No details included for this demonstration.,VA,"Monday, June 1, 2020",2020-06-01,NA
Midland,"George Floyd, Solidarity - Minneapolis, General - Police Brutality Against Black People",12 demonstrators,Evening,No details included for this demonstration.,TX,"Monday, June 1, 2020",2020-06-01,NA
"London, England","George Floyd, Solidarity - Minneapolis, General - Police Brutality Against Black People",Thousands of demonstrators,Afternoon (est.),March to US Embassy (street to US Embassy blocked b/c high num of protesters),NA,"Sunday, May 31, 2020",2020-05-31,NA
"Copenhagen, Denmark","George Floyd, Solidarity - Minneapolis, General - Police Brutality Against Black People",2000 demonstrators,Afternoon,No details included for this demonstration.,NA,"Sunday, May 31, 2020",2020-05-31,NA
Youngstown,"George Floyd, Solidarity - Minneapolis, General - Police Brutality Against Black People",200-300 (est.) demonstrators,Afternoon,No details included for this demonstration.,OH,"Sunday, May 31, 2020",2020-05-31,NA
New Haven,"George Floyd, Solidarity - Minneapolis, General - Police Brutality Against Black People",1000+ (est.) demonstrators,Afternoon-Evening,I-95 shutdown,CT,"Sunday, May 31, 2020",2020-05-31,NA
San Diego,"George Floyd, Solidarity - Minneapolis, General - Police Brutality Against Black People",1000 (est.) demonstrators,Afternoon-Evening,No details included for this demonstration.,CA,"Sunday, May 31, 2020",2020-05-31,NA
Modesto,"George Floyd, Solidarity - Minneapolis, General - Police Brutality Against Black People",500 (est.) demonstrators,Morning,No details included for this demonstration.,CA,"Sunday, May 31, 2020",2020-05-31,NA
Charlotte,"George Floyd, Solidarity - Minneapolis, General - Police Brutality Against Black People",3000+ demonstrators,Afternoon,No details included for this demonstration.,NC,"Sunday, May 31, 2020",2020-05-31,NA
Tampa,"George Floyd, Solidarity - Minneapolis, General - Police Brutality Against Black People",Hundreds of demonstrators,Afternoon-Evening,No details for this protest,FL,"Sunday, May 31, 2020",2020-05-31,NA
Boston,"George Floyd, Solidarity - Minneapolis, General - Police Brutality Against Black People",Thousands of demonstrators,Afternoon-Evening,No details for this protest,MA,"Sunday, May 31, 2020",2020-05-31,NA
Lockport,"George Floyd, Solidarity - Minneapolis, General - Police Brutality Against Black People",Dozens of demonstrators,Evening,No details included for this demonstration.,NY,"Monday, June 1, 2020",2020-06-01,NA
"Halifax, Canada","George Floyd, Regis Korchinski-Paquet, Solidarity - Minneapolis, General - Police Brutality Against Black People",Hundreds of demonstrators,Evening,No details included for this demonstration.,NA,"Monday, June 1, 2020",2020-06-01,NA
Chicago,"George Floyd, Solidarity - Minneapolis, General - Police Brutality Against Black People",Thousands of demonstrators,Afternoon-Evening,March from Lakeview to Uptown,IL,"Monday, June 1, 2020",2020-06-01,NA
Seattle,"George Floyd, Solidarity - Minneapolis, General - Police Brutality Against Black People",Hundreds of demonstrators,Afternoon-Evening,No details included for this demonstration.,WA,"Monday, June 1, 2020",2020-06-01,NA
Pittsburgh,"George Floyd, Solidarity - Minneapolis, General - Police Brutality Against Black People",Thousands of demonstrators,Afternoon-Evening,No details included for this demonstration.,PA,"Monday, June 1, 2020",2020-06-01,NA
Philadelphia,"George Floyd, Solidarity - Minneapolis, General - Police Brutality Against Black People",Thousands of demonstrators,Afternoon-Evening,March w/ I-676 shutdown,PA,"Monday, June 1, 2020",2020-06-01,NA
Portland,"George Floyd, Solidarity - Minneapolis, General - Police Brutality Against Black People",1000+ demonstrators,Evening,3 separate marches (will be sorted into 3 separate demonstrations on Elephame at a later date),OR,"Monday, June 1, 2020",2020-06-01,NA
Louisville,"Breonna Taylor, David McAtee, George Floyd, Solidarity - Minneapolis, General - Police Brutality Against Black People",Hundreds (est.) demonstrators,Morning-Evening,"Downtown protest, march to site of McAtee's killing then back downtown",KY,"Monday, June 1, 2020",2020-06-01,NA
Oakland,"George Floyd, Solidarity - Minneapolis, General - Police Brutality Against Black People",Thousands of demonstrators,Evening,No details included for this demonstration.,CA,"Monday, June 1, 2020",2020-06-01,NA
