State;City;County;CBG;Time ;Link ;NationalGuard
Washington;Seattle ;;;30/05/20;;T
Oregon;Portland;;;30/05/20;;
Oregon;Eugene;;;30/05/20;;
Montana;Missoula;;;30/05/20;;
California;Sacramento;;;30/05/20;;T
California;Oakland;;;30/05/20;;T
California;San Jose;;;30/05/20;;T
California;Los Angeles;;;30/05/20;;T
California;San Diego;;;30/05/20;;T
Nevada;Las Vegas;;;30/05/20;;
Arizona;Phoenix;;;30/05/20;;
Arizona;Tucson;;;30/05/20;;
Utah;Salt Lake City;;;30/05/20;;T
Colorado ;Denver ;;;30/05/20;;T
New Mexico;Santa Fe;;;30/05/20;;
New Mexico;Albuquerque;;;30/05/20;;
Texas ;Dallas;;;30/05/20;;
Texas ;Austin;;;30/05/20;;
Texas ;Houston ;;;30/05/20;;
Texas ;Dallas;;;30/05/20;;
Oklahoma;Oklahoma City;;;30/05/20;;
Oklahoma;Tulsa;;;30/05/20;;
Missouri;Kansas City;;;30/05/20;;T
Nebraska;Lincoln;;;30/05/20;;
Iowa;Des Moines;;;30/05/20;;
Minnesota;Minneapolis;;;30/05/20;;T
Minnesota;St. Paul;;;30/05/20;;T
Wisconsin;Milwaukee;;;30/05/20;;T
Illinois;Chicago;;;30/05/20;;T
Indiana;Indianapolis;;;30/05/20;;
Kentucky;Louisvillle;;;30/05/20;;T
Kentucky;Lexington;;;30/05/20;;T
Ohio ;Cincinnati;;;30/05/20;;T
Ohio;Columbus;;;30/05/20;;T
Michigan ;Detroit ;;;30/05/20;;
Louisiana;New Orleans;;;30/05/20;;
Georgia ;Atlanta ;;;30/05/20;;T
Florida;Tallahassee;;;30/05/20;;
Florida;Orlando;;;30/05/20;;
Florida;Tampa;;;30/05/20;;
Florida;Miami;;;30/05/20;;
South Carolina;Columbia;;;30/05/20;;
North Carolina;Charlotte;;;30/05/20;;
Virginia;Norfolk;;;30/05/20;;
Virginia;Richmond;;;30/05/20;;
Virginia;Hampton;;;30/05/20;;
Washington, D.C.;Washington, D.C.;;;30/05/20;;
Tennessee;Memphis;;;30/05/20;;T
Pennsylvania;Philadelphia;;;30/05/20;;
New York ;New York City ;;;30/05/20;;
New York ;Hartford;;;30/05/20;;
New York ;Buffalo;;;30/05/20;;
Massachusetts;Boston;;;30/05/20;;
Maine;Portland;;;30/05/20;;
Washington;Seattle ;;;29/05/20;;T
Oregon;Portland;;;29/05/20;;
Oregon;Eugene;;;29/05/20;;
Montana;Missoula;;;29/05/20;;
California;Sacramento;;;29/05/20;;T
California;Oakland;;;29/05/20;;T
California;San Jose;;;29/05/20;;T
California;Los Angeles;;;29/05/20;;T
California;San Diego;;;29/05/20;;T
Nevada;Las Vegas;;;29/05/20;;
Arizona;Phoenix;;;29/05/20;;
Arizona;Tucson;;;29/05/20;;
Utah;Salt Lake City;;;29/05/20;;T
Colorado ;Denver ;;;29/05/20;;T
New Mexico;Santa Fe;;;29/05/20;;
New Mexico;Albuquerque;;;29/05/20;;
Texas ;Dallas;;;29/05/20;;
Texas ;Austin;;;29/05/20;;
Texas ;Houston ;;;29/05/20;;
Texas ;Dallas;;;29/05/20;;
Oklahoma;Oklahoma City;;;29/05/20;;
Oklahoma;Tulsa;;;29/05/20;;
Missouri;Kansas City;;;29/05/20;;T
Nebraska;Lincoln;;;29/05/20;;
Iowa;Des Moines;;;29/05/20;;
Minnesota;Minneapolis;;;29/05/20;;T
Minnesota;St. Paul;;;29/05/20;;T
Wisconsin;Milwaukee;;;29/05/20;;T
Illinois;Chicago;;;29/05/20;;T
Indiana;Indianapolis;;;29/05/20;;
Kentucky;Louisvillle;;;29/05/20;;T
Kentucky;Lexington;;;29/05/20;;T
Ohio ;Cincinnati;;;29/05/20;;T
Ohio;Columbus;;;29/05/20;;T
Michigan ;Detroit ;;;29/05/20;;
Louisiana;New Orleans;;;29/05/20;;
Georgia ;Atlanta ;;;29/05/20;;T
Florida;Tallahassee;;;29/05/20;;
Florida;Orlando;;;29/05/20;;
Florida;Tampa;;;29/05/20;;
Florida;Miami;;;29/05/20;;
South Carolina;Columbia;;;29/05/20;;
North Carolina;Charlotte;;;29/05/20;;
Virginia;Norfolk;;;29/05/20;;
